NAME_1,NAME_2,NAME_3,yr2014,yr2022,yr2023,eq_mi
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Tamallalt),1.958833932876587,3.0592901706695557,6.267533516511321,6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Rehamna,3.0279741287231445,4.572180271148682,9.129388602156387,6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Sidi Bou Ot,1.4917792081832886,2.4011411666870117,6.639392084545559,6.6
Marrakech - Tensift - Al Haouz,Essaouira,Essaouira,0.6749202013015747,0.6951927542686462,4.399231201724002,6
Marrakech - Tensift - Al Haouz,Essaouira,NA (Ait Daoud),5.591460227966309,6.0515971183776855,9.989985458991107,5.2
Marrakech - Tensift - Al Haouz,Essaouira,NA (El Hanchane),0.49816805124282837,0.11181288212537766,4.290064048022032,4.8
Marrakech - Tensift - Al Haouz,Essaouira,NA (Essaouira),93.6104736328125,79.61015319824219,43.179502899582324,5.4
Marrakech - Tensift - Al Haouz,Essaouira,NA (Talmest),0.81626129150390625,0.561802864074707,4.611007713609272,4.6
Marrakech - Tensift - Al Haouz,Essaouira,NA (Tamanar),19.16080665588379,13.855302810668945,24.841076446302008,4.8
Marrakech - Tensift - Al Haouz,Essaouira,Tamanar,0.52723228931427,0.7110157012939453,4.212039480083867,5.6
Marrakech - Tensift - Al Haouz,Marrakech,Bour,7.322807788848877,10.715093612670898,14.425612122671945,6.8
Marrakech - Tensift - Al Haouz,Marrakech,Loudaya,15.076104164123535,16.556339263916016,22.90411284310477,7.2
Marrakech - Tensift - Al Haouz,Marrakech,NA (Annakhil),107.40991973876953,93.9010009765625,101.60795759385631,6.8
Marrakech - Tensift - Al Haouz,Marrakech,NA (Machouar Kasba),190.32493591308594,226.16445922851562,233.27070852426382,6.4
Marrakech - Tensift - Al Haouz,Marrakech,NA (Marrakech Medina),470.2358093261719,376.1849060058594,397.3760962853065,6.6
Marrakech - Tensift - Al Haouz,Marrakech,NA (Menara Gueliz),422.425048828125,350.28546142578125,334.99683053152904,6.6
Marrakech - Tensift - Al Haouz,Marrakech,NA (Sidi Youssef Ben Ali),97.54566955566406,140.5907745361328,145.77905301694517,6.6
Meknès - Tafilalet,El Hajeb,Agourai,1.0061289072036743,1.9440938234329224,6.0838588978114885,3.8
Meknès - Tafilalet,El Hajeb,Ain Taoujda,7.523634910583496,9.04847526550293,15.276655042493665,3.6
Meknès - Tafilalet,El Hajeb,El Hajeb,4.171461582183838,7.029959201812744,13.392792626431113,3.8
Meknès - Tafilalet,El Hajeb,NA (Agourai),36.7348518371582,51.347965240478516,45.739797704360065,3.6
Meknès - Tafilalet,El Hajeb,NA (Ain Taoujdate),42.66679000854492,27.630199432373047,30.756241910597858,NA
Meknès - Tafilalet,El Hajeb,NA (El Hajeb),1.7814109325408936,2.967324733734131,11.630465805530548,NA
Meknès - Tafilalet,El Hajeb,NA (Sbaa Aiyoun),20.96514129638672,18.549537658691406,25.579156766619,NA
Meknès - Tafilalet,Errachidia,Arfoud,0.500025749206543,0.5204561352729797,4.05042586828533,4
