NAME_1,NAME_2,NAME_3,yr2014,yr2023_post_eq,yr2023_pre_eq,eq_mi,pc_14_23pre_eq,pc_14_23post_eq
Grand Casablanca,Casablanca,NA (Moulay Youssef),897.77386474609375,806.2931837602096,817.2938537597656,4.4,-8.964396731362779,-10.189724225460333
Grand Casablanca,Casablanca,NA (Nouaceur),171.4986114501953,324.63052913120816,250.90252416274126,4.4,46.300032426563135,89.29047085928372
Grand Casablanca,Casablanca,NA (Salmia),108.91520690917969,200.00057135687933,215.2971404104522,4.2,97.6740865855219,83.6296115414373
Grand Casablanca,Casablanca,NA (Sbata),347.51312255859375,492.0159437391493,506.95381395744556,4.2,45.880480778670076,41.581975413371936
Grand Casablanca,Casablanca,NA (Sidi Belyout),1059.257568359375,1065.4384904341264,977.9006652832031,4.4,-7.680559054412144,0.5835145539082307
Grand Casablanca,Casablanca,NA (Sidi Bernoussi),597.3865966796875,799.74444580078125,751.210946890024,4.4,25.74954829340029,33.87385158050272
Grand Casablanca,Casablanca,NA (Sidi Maarouf),215.87969970703125,308.1859834459093,323.0134767804827,4.2,49.62661019949624,42.75820462236432
Grand Casablanca,Casablanca,NA (Sidi Moumen),645.964599609375,754.1235988451087,726.3334167480468,4.6,12.441675161033922,16.743796688106315
Grand Casablanca,Casablanca,NA (Sidi Othmane),605.20587158203125,801.2223096575055,781.10639629942,4.2,29.06457669645175,32.38839001397654
Grand Casablanca,Casablanca,NA (Tit Mellil),238.52882385253906,382.2572887965611,334.07586669921875,4.8,40.05681213007106,60.25622506438737
Grand Casablanca,Casablanca,Tit Mellil,33.539241790771484,131.61816250483196,126.52720991770425,4.8,277.2512530456754,292.4303457004429
Grand Casablanca,Mohammedia,NA (Mohammedia),388.67205810546875,426.30573482513427,447.23804342335666,4.2,15.068226309696705,9.682629850755406
Guelmim - Es-Semara,Assa-Zag,Assa,0.28808584809303284,4.341389954090118,3.3918100281765584,4,1077.360863308088,1406.9778619212611
Guelmim - Es-Semara,Assa-Zag,NA (Assa),0,3.572431127673813,3.307854653077407,3.8,NA,NA
Guelmim - Es-Semara,Assa-Zag,NA (Zag),0.05008086934685707,3.8158830163940305,2.8193472398346975,4,5529.589255546003,7519.442446107426
Guelmim - Es-Semara,Assa-Zag,Zag,0,3.710618915096406,2.906205908836503,3.8,NA,NA
Guelmim - Es-Semara,Guelmim,Bouizakarne,0.5321145057678223,4.8421962607291436,3.942257930573664,4,640.8664653644663,809.9914037754012
Guelmim - Es-Semara,Guelmim,Guelmim,1.0267107486724854,6.353878941386938,7.599131640635039,3.8,640.1433802519892,518.8577405664024
Guelmim - Es-Semara,Guelmim,NA (Bouizakarne),0.20257171988487244,10.630456439910397,10.314870682629671,3.8,4991.959869073491,5147.749511112412
Guelmim - Es-Semara,Guelmim,NA (Guelmim),3.0120291709899902,11.894825319449108,22.162626105196335,3.6,635.8038334639351,294.91069455809856
Guelmim - Es-Semara,Tan-Tan,Msied,0.03527577966451645,3.983275044709444,3.382454349806434,3.8,9488.602667253903,11191.812916940798
Guelmim - Es-Semara,Tan-Tan,NA (El Ouatia),15.849053382873535,33.43632102012634,27.78103108178167,3.4,75.28511268566874,110.9673064528736
Guelmim - Es-Semara,Tan-Tan,NA (Tan-Tan),0,4.658407350381215,5.277774436399341,3.4,NA,NA
Guelmim - Es-Semara,Tan-Tan,Tan-Tan,0.6262350678443909,5.136124975979328,4.678249392070269,3.4,647.0436633600877,720.1592724052897
Guelmim - Es-Semara,Tata,Akka,0.04437820240855217,3.6995248631123574,2.721132529017172,4.6,6031.687137676356,8236.355828598002
Guelmim - Es-Semara,Tata,Foum Zguid,0.02565808780491352,3.4095347985625266,2.721842213092666,4.8,10508.12572545423,13188.343326620003
Guelmim - Es-Semara,Tata,NA (Akka),2.757882833480835,11.329377559515146,6.263457172057208,4.2,127.11106853483862,310.79981433496516
Guelmim - Es-Semara,Tata,NA (Fam El Hisn),0.4988875687122345,4.510112773094859,3.5593115615122244,4.2,613.4496397053514,804.0339058230485
Guelmim - Es-Semara,Tata,NA (Foum Zguid),0.0016572258900851011,3.2220194176943213,2.6895008170977235,4.2,162189.33141755426,194322.46449148012
Guelmim - Es-Semara,Tata,NA (Tata),11.300045013427734,18.72366869038549,12.033957185167257,4.6,6.494772108141353,65.6955230544333
Guelmim - Es-Semara,Tata,Tata,0.009690757840871811,3.615626089755566,2.6513774420477842,5,27259.856531192177,37210.044777987074
Laâyoune - Boujdour - Sakia El H,Laâyoune,Tarfaya,0.21945159137248993,7.861447690054774,8.749909644191328,NA,3887.1707420610674,3482.315188916088
Marrakech - Tensift - Al Haouz,Al Haouz,Ait Ourir,0.8681079745292664,6.015322906896472,4.736044069131216,7.2,445.5593322592558,592.9233555489794
Marrakech - Tensift - Al Haouz,Al Haouz,Amizmiz,1.108109712600708,5.516793577000499,4.220701860154376,8.4,280.8920553767628,397.8562604647433
Marrakech - Tensift - Al Haouz,Al Haouz,Asni,0.16811175644397736,3.98456743452698,2.970233666400115,8.6,1666.8209108206745,2270.1896398035806
Marrakech - Tensift - Al Haouz,Al Haouz,NA (Ait Ourir),49.75016403198242,67.34970605784449,52.18523619969686,6.2,4.894601284427978,35.375847232479494
Marrakech - Tensift - Al Haouz,Al Haouz,Tahannaout,3.1728532314300537,7.912655984201739,6.248453249250139,7.6,96.934834153481,149.38613314412223
Marrakech - Tensift - Al Haouz,Chichaoua,Chichaoua,1.3383073806762695,6.1146526259760705,5.237947576924374,8,291.38598894056383,356.894485845713
Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute,0.4807283580303192,4.792668187990785,3.902539503417517,7.6,711.7972318935648,896.9597399304067
Marrakech - Tensift - Al Haouz,Chichaoua,Majjat,0.36803126335144043,4.993757409974933,3.6851357842485113,8.4,901.3105274508979,1256.88402243325
Marrakech - Tensift - Al Haouz,Chichaoua,Mtouga,0.48707297444343567,4.628944220021367,3.8815572014764737,7,696.9149193530636,850.3594867505693
